Interaction:  mu_gam_178(X)^(*)  AntiPart mu_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:mu(X_1), AntiPart mu(X_2),  OffShell A(V_1), : -1/2*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*e_{j_73,%del_176}(p_4)_v*e_{i_73,%gam_176}(p_3)_u^(*)*mu_{k_71,%eps_82}(p_1)_u*mu_{l_71,%eta_160}(p_2)_v^(*)/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/4*e^4*(16*m_e^2*m_mu^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  OffShell t_alpha_17787(X)  AntiPart t_beta_8446(X)^(*) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32089,%gam_17484,%del_12709}*gamma_{%\tau_32089,%gam_17485,%eta_24045}*t_{i_11527,%gam_17485}(p_3)_u^(*)*t_{j_11527,%eta_24045}(p_4)_v*mu_{k_11525,%gam_17484}(p_1)_v^(*)*mu_{l_11525,%del_12709}(p_2)_u/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  OffShell t_alpha_17787(X)  AntiPart OffShell t_eta_24070(X)^(*) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32136,%gam_17534,%del_12740}*gamma_{%\tau_32136,%gam_17535,%eps_9919}*t_{j_11534,%eps_9919}(p_4)_v*t_{i_11534,%gam_17535}(p_3)_u^(*)*mu_{k_11532,%gam_17534}(p_1)_v^(*)*mu_{l_11532,%del_12740}(p_2)_u/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  AntiPart t_del_12777(X)^(*)  t_eps_9938(X) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32176,%gam_17585,%del_12773}*gamma_{%\tau_32176,%gam_17586,%del_12774}*t_{j_11541,%gam_17586}(p_4)_u^(*)*t_{i_11541,%del_12774}(p_3)_v*mu_{l_11539,%del_12773}(p_2)_u*mu_{k_11539,%gam_17585}(p_1)_v^(*)/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  AntiPart t_del_12777(X)^(*)  OffShell t_gam_17640(X) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32215,%gam_17636,%del_12824}*gamma_{%\tau_32215,%gam_17637,%del_12825}*t_{i_11548,%del_12825}(p_3)_v*t_{j_11548,%gam_17637}(p_4)_u^(*)*mu_{l_11546,%del_12824}(p_2)_u*mu_{k_11546,%gam_17636}(p_1)_v^(*)/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  AntiPart OffShell t_gam_17690(X)^(*)  t_del_12881(X) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32258,%gam_17686,%del_12877}*gamma_{%\tau_32258,%gam_17687,%del_12878}*t_{i_11559,%del_12878}(p_3)_v*t_{j_11559,%gam_17687}(p_4)_u^(*)*mu_{k_11557,%gam_17686}(p_1)_v^(*)*mu_{l_11557,%del_12877}(p_2)_u/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart mu_gam_16946(X)  OffShell mu_del_12641(X)^(*)  to  AntiPart OffShell t_gam_17690(X)^(*)  OffShell t_beta_8466(X) : Vertex V_0:AntiPart mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32305,%gam_17741,%del_12923}*gamma_{%\tau_32305,%gam_17742,%gam_17743}*t_{j_11566,%gam_17742}(p_4)_u^(*)*t_{i_11566,%gam_17743}(p_3)_v*mu_{k_11564,%gam_17741}(p_1)_v^(*)*mu_{l_11564,%del_12923}(p_2)_u/(m_mu^2 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  t_beta_8506(X)  AntiPart t_gam_17849(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:t(X_3), AntiPart t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32533,%eta_24147,%gam_17845}*gamma_{%\tau_32533,%gam_17846,%eps_9986}*t_{j_11645,%eps_9986}(p_4)_v*t_{i_11645,%gam_17846}(p_3)_u^(*)*mu_{l_11643,%gam_17845}(p_2)_u*mu_{k_11643,%eta_24147}(p_1)_v^(*)/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  t_beta_8506(X)  AntiPart OffShell t_gam_17892(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32580,%eta_24177,%alpha_17895}*gamma_{%\tau_32580,%gam_17890,%del_13001}*t_{j_11652,%del_13001}(p_4)_v*t_{i_11652,%gam_17890}(p_3)_u^(*)*mu_{l_11650,%alpha_17895}(p_2)_u*mu_{k_11650,%eta_24177}(p_1)_v^(*)/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  OffShell t_eps_10009(X)  AntiPart t_eta_24211(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32623,%eta_24208,%alpha_17926}*gamma_{%\tau_32623,%gam_17920,%del_13031}*t_{j_11663,%del_13031}(p_4)_v*t_{i_11663,%gam_17920}(p_3)_u^(*)*mu_{l_11661,%alpha_17926}(p_2)_u*mu_{k_11661,%eta_24208}(p_1)_v^(*)/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  OffShell t_eps_10009(X)  AntiPart OffShell t_del_13056(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32662,%eta_24239,%alpha_17957}*gamma_{%\tau_32662,%gam_17955,%gam_17956}*t_{j_11670,%gam_17956}(p_4)_v*t_{i_11670,%gam_17955}(p_3)_u^(*)*mu_{k_11668,%eta_24239}(p_1)_v^(*)*mu_{l_11668,%alpha_17957}(p_2)_u/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  AntiPart t_beta_8524(X)^(*)  t_gam_18000(X) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32702,%eta_24275,%alpha_17989}*gamma_{%\tau_32702,%gam_17998,%eta_24276}*t_{j_11677,%gam_17998}(p_4)_u^(*)*t_{i_11677,%eta_24276}(p_3)_v*mu_{k_11675,%eta_24275}(p_1)_v^(*)*mu_{l_11675,%alpha_17989}(p_2)_u/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  AntiPart t_beta_8524(X)^(*)  OffShell t_alpha_18024(X) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32741,%eta_24325,%alpha_18021}*gamma_{%\tau_32741,%gam_18025,%del_13075}*t_{j_11684,%gam_18025}(p_4)_u^(*)*t_{i_11684,%del_13075}(p_3)_v*mu_{l_11682,%alpha_18021}(p_2)_u*mu_{k_11682,%eta_24325}(p_1)_v^(*)/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  AntiPart OffShell t_alpha_18055(X)^(*)  t_beta_8532(X) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32784,%eta_24360,%alpha_18052}*gamma_{%\tau_32784,%gam_18052,%eps_10025}*t_{j_11695,%gam_18052}(p_4)_u^(*)*t_{i_11695,%eps_10025}(p_3)_v*mu_{k_11693,%eta_24360}(p_1)_v^(*)*mu_{l_11693,%alpha_18052}(p_2)_u/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  mu_alpha_17881(X)^(*)  to  AntiPart OffShell t_alpha_18055(X)^(*)  OffShell t_eta_24395(X) : Vertex V_0:AntiPart  OffShell mu(X_1), mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32831,%eta_24392,%alpha_18084}*gamma_{%\tau_32831,%gam_18079,%del_13110}*t_{i_11702,%del_13110}(p_3)_v*t_{j_11702,%gam_18079}(p_4)_u^(*)*mu_{k_11700,%eta_24392}(p_1)_v^(*)*mu_{l_11700,%alpha_18084}(p_2)_u/(m_mu^2 + s_11 + 2*s_12 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  t_beta_8538(X)  AntiPart t_gam_18110(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:t(X_3), AntiPart t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32891,%eta_24432,%del_13140}*gamma_{%\tau_32891,%gam_18108,%eta_24433}*t_{i_11717,%gam_18108}(p_3)_u^(*)*t_{j_11717,%eta_24433}(p_4)_v*mu_{k_11715,%eta_24432}(p_1)_v^(*)*mu_{l_11715,%del_13140}(p_2)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  t_beta_8538(X)  AntiPart OffShell t_beta_8542(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32936,%eta_24481,%alpha_18131}*gamma_{%\tau_32936,%gam_18135,%del_13170}*t_{i_11724,%gam_18135}(p_3)_u^(*)*t_{j_11724,%del_13170}(p_4)_v*mu_{l_11722,%alpha_18131}(p_2)_u*mu_{k_11722,%eta_24481}(p_1)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  OffShell t_del_13194(X)  AntiPart t_eps_10062(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_32979,%eta_24512,%alpha_18165}*gamma_{%\tau_32979,%gam_18169,%gam_18170}*t_{j_11735,%gam_18170}(p_4)_v*t_{i_11735,%gam_18169}(p_3)_u^(*)*mu_{l_11733,%alpha_18165}(p_2)_u*mu_{k_11733,%eta_24512}(p_1)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  OffShell t_del_13194(X)  AntiPart OffShell t_gam_18214(X)^(*) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_33031,%eta_24543,%alpha_18196}*gamma_{%\tau_33031,%gam_18212,%del_13218}*t_{j_11742,%del_13218}(p_4)_v*t_{i_11742,%gam_18212}(p_3)_u^(*)*mu_{l_11740,%alpha_18196}(p_2)_u*mu_{k_11740,%eta_24543}(p_1)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  AntiPart t_alpha_18228(X)^(*)  t_beta_8558(X) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_33069,%eta_24575,%alpha_18225}*gamma_{%\tau_33069,%gam_18239,%eps_10082}*t_{i_11749,%eps_10082}(p_3)_v*t_{j_11749,%gam_18239}(p_4)_u^(*)*mu_{l_11747,%alpha_18225}(p_2)_u*mu_{k_11747,%eta_24575}(p_1)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  AntiPart t_alpha_18228(X)^(*)  OffShell t_eta_24610(X) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_33116,%eta_24607,%alpha_18257}*gamma_{%\tau_33116,%gam_18266,%del_13256}*t_{j_11756,%gam_18266}(p_4)_u^(*)*t_{i_11756,%del_13256}(p_3)_v*mu_{k_11754,%eta_24607}(p_1)_v^(*)*mu_{l_11754,%alpha_18257}(p_2)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  AntiPart OffShell t_eta_24641(X)^(*)  t_alpha_18294(X) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3), t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_33169,%eta_24638,%alpha_18291}*gamma_{%\tau_33169,%gam_18293,%del_13284}*t_{i_11767,%del_13284}(p_3)_v*t_{j_11767,%gam_18293}(p_4)_u^(*)*mu_{k_11765,%eta_24638}(p_1)_v^(*)*mu_{l_11765,%alpha_18291}(p_2)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell mu_eta_24149(X)  OffShell mu_alpha_18116(X)^(*)  to  AntiPart OffShell t_eta_24641(X)^(*)  OffShell t_eps_10125(X) : Vertex V_0:AntiPart  OffShell mu(X_1),  OffShell mu(X_2),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell t(X_3),  OffShell t(X_4),  OffShell A(V_1), : -i*e^2*gamma_{+%\tau_33204,%eta_24674,%alpha_18322}*gamma_{%\tau_33204,%gam_18320,%eta_24675}*t_{i_11774,%eta_24675}(p_3)_v*t_{j_11774,%gam_18320}(p_4)_u^(*)*mu_{k_11772,%eta_24674}(p_1)_v^(*)*mu_{l_11772,%alpha_18322}(p_2)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  u_alpha_20744(X)  AntiPart u_beta_10950(X)^(*) : Vertex V_0:mu(X_1), AntiPart mu(X_2),  OffShell A(V_0), Vertex V_1:u(X_3), AntiPart u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41089,%eta_27110,%alpha_20741}*gamma_{%\mu_41089,%gam_20724,%del_15715}*u_{i_15501,%gam_20724}(p_3)_u^(*)*u_{j_15501,%del_15715}(p_4)_v*mu_{l_15499,%eta_27110}(p_2)_v^(*)*mu_{k_15499,%alpha_20741}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  u_alpha_20744(X)  AntiPart OffShell u_beta_10954(X)^(*) : Vertex V_0:mu(X_1), AntiPart mu(X_2),  OffShell A(V_0), Vertex V_1:u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41133,%eta_27150,%eps_12517}*gamma_{%\mu_41133,%eta_27151,%alpha_20781}*u_{j_15508,%alpha_20781}(p_4)_v*u_{i_15508,%eta_27151}(p_3)_u^(*)*mu_{l_15506,%eta_27150}(p_2)_v^(*)*mu_{k_15506,%eps_12517}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  OffShell u_del_15738(X)  AntiPart u_eps_12545(X)^(*) : Vertex V_0:mu(X_1), AntiPart mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell u(X_3), AntiPart u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41176,%eta_27206,%eps_12542}*gamma_{%\mu_41176,%eta_27207,%gam_20753}*u_{j_15519,%gam_20753}(p_4)_v*u_{i_15519,%eta_27207}(p_3)_u^(*)*mu_{l_15517,%eta_27206}(p_2)_v^(*)*mu_{k_15517,%eps_12542}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  OffShell u_del_15738(X)  AntiPart OffShell u_gam_20772(X)^(*) : Vertex V_0:mu(X_1), AntiPart mu(X_2),  OffShell A(V_0), Vertex V_1: OffShell u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41219,%eta_27262,%eps_12567}*gamma_{%\mu_41219,%eta_27263,%beta_10968}*u_{j_15526,%beta_10968}(p_4)_v*u_{i_15526,%eta_27263}(p_3)_u^(*)*mu_{k_15524,%eps_12567}(p_1)_u*mu_{l_15524,%eta_27262}(p_2)_v^(*)/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  AntiPart u_alpha_20843(X)^(*)  u_beta_10987(X) : Vertex V_0:AntiPart mu(X_2), mu(X_1),  OffShell A(V_0), Vertex V_1:AntiPart u(X_3), u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41259,%eta_27319,%eps_12597}*gamma_{%\mu_41259,%eta_27320,%eps_12598}*u_{j_15533,%eta_27320}(p_4)_u^(*)*u_{i_15533,%eps_12598}(p_3)_v*mu_{l_15531,%eta_27319}(p_2)_v^(*)*mu_{k_15531,%eps_12597}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  AntiPart u_alpha_20843(X)^(*)  OffShell u_eta_27380(X) : Vertex V_0:AntiPart mu(X_2), mu(X_1),  OffShell A(V_0), Vertex V_1:AntiPart u(X_3),  OffShell u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41298,%eta_27376,%eps_12641}*gamma_{%\mu_41298,%eta_27377,%alpha_20861}*u_{j_15540,%eta_27377}(p_4)_u^(*)*u_{i_15540,%alpha_20861}(p_3)_v*mu_{k_15538,%eps_12641}(p_1)_u*mu_{l_15538,%eta_27376}(p_2)_v^(*)/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_12509(X)^(*)  AntiPart mu_eta_27112(X)  to  AntiPart OffShell u_eta_27436(X)^(*)  u_alpha_20894(X) : Vertex V_0:AntiPart mu(X_2), mu(X_1),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell u(X_3), u(X_4),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\mu_41352,%eta_27432,%eps_12670}*gamma_{%\mu_41352,%eta_27433,%del_15754}*u_{i_15551,%del_15754}(p_3)_v*u_{j_15551,%eta_27433}(p_4)_u^(*)*mu_{l_15549,%eta_27432}(p_2)_v^(*)*mu_{k_15549,%eps_12670}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_u^2*m_mu^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
