Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart c_beta_19463(X)  to  AntiPart c_gam_29268(X)^(*)  OffShell c_del_25603(X) : Vertex V_0:AntiPart c(X_2), AntiPart c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_4),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\lambda_80742,%eta_39462,%gam_29319}*gamma_{%\lambda_80742,%gam_29320,%eps_22523}*c_{j_27917,%gam_29320}(p_4)_u^(*)*c_{k_27915,%eps_22523}(p_1)_u*c_{l_27915,%eta_39462}(p_2)_v^(*)*c_{i_27917,%gam_29319}(p_3)_v/(m_c^2 + -s_23 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + -s_23 + 1/2*reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart c_beta_19463(X)  to  AntiPart OffShell c_eps_22574(X)^(*)  c_eta_39598(X) : Vertex V_1:AntiPart  OffShell c(X_3), c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_80865,%eta_39579,%eps_22564}*gamma_{%\lambda_80865,%eta_39580,%gam_29424}*c_{l_27931,%eta_39579}(p_2)_v^(*)*c_{i_27933,%gam_29424}(p_3)_v*c_{j_27933,%eta_39580}(p_4)_u^(*)*c_{k_27931,%eps_22564}(p_1)_u/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart c_beta_19463(X)  to  AntiPart OffShell c_eps_22574(X)^(*)  c_eta_39598(X) : Vertex V_0:AntiPart c(X_2), AntiPart  OffShell c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_80878,%eta_39589,%gam_29431}*gamma_{%\lambda_80878,%eta_39590,%eps_22571}*c_{l_27931,%eta_39589}(p_2)_v^(*)*c_{i_27933,%gam_29431}(p_3)_v*c_{j_27933,%eta_39590}(p_4)_u^(*)*c_{k_27931,%eps_22571}(p_1)_u/(m_c^2 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + (-2)*s_23 + s_33 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart c_beta_19463(X)  to  AntiPart OffShell c_eps_22574(X)^(*)  OffShell c_eta_39754(X) : Vertex V_1:AntiPart  OffShell c(X_3),  OffShell c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81005,%eta_39735,%eps_22620}*gamma_{%\lambda_81005,%eta_39736,%eps_22621}*c_{l_27943,%eta_39735}(p_2)_v^(*)*c_{i_27945,%eps_22621}(p_3)_v*c_{j_27945,%eta_39736}(p_4)_u^(*)*c_{k_27943,%eps_22620}(p_1)_u/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart c_beta_19463(X)  to  AntiPart OffShell c_eps_22574(X)^(*)  OffShell c_eta_39754(X) : Vertex V_0:AntiPart c(X_2), AntiPart  OffShell c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81010,%eta_39745,%eps_22636}*gamma_{%\lambda_81010,%eta_39746,%eps_22637}*c_{l_27943,%eta_39745}(p_2)_v^(*)*c_{i_27945,%eps_22636}(p_3)_v*c_{j_27945,%eta_39746}(p_4)_u^(*)*c_{k_27943,%eps_22637}(p_1)_u/(m_c^2 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + (-2)*s_23 + s_33 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  c_gam_29538(X)  AntiPart c_del_25711(X)^(*) : Vertex V_1:c(X_3), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81151,%eta_39896,%eps_22719}*gamma_{%\lambda_81151,%eta_39897,%alpha_27724}*c_{j_27965,%alpha_27724}(p_4)_v*c_{i_27965,%eta_39897}(p_3)_u^(*)*c_{k_27963,%eps_22719}(p_1)_u*c_{l_27963,%eta_39896}(p_2)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  c_gam_29538(X)  AntiPart c_del_25711(X)^(*) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart c(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), c(X_3),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81164,%eta_39908,%alpha_27731}*gamma_{%\lambda_81164,%eta_39909,%eps_22728}*c_{j_27965,%alpha_27731}(p_4)_v*c_{i_27965,%eta_39909}(p_3)_u^(*)*c_{k_27963,%eps_22728}(p_1)_u*c_{l_27963,%eta_39908}(p_2)_v^(*)/(m_c^2 + s_11 + (-2)*s_13 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_c^2*s_24 + 8*s_12*s_34)*(m_c^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  c_gam_29538(X)  AntiPart OffShell c_eta_40068(X)^(*) : Vertex V_1:c(X_3), AntiPart  OffShell c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81299,%eta_40055,%eps_22781}*gamma_{%\lambda_81299,%gam_29570,%eps_22782}*c_{i_27977,%gam_29570}(p_3)_u^(*)*c_{k_27975,%eps_22781}(p_1)_u*c_{l_27975,%eta_40055}(p_2)_v^(*)*c_{j_27977,%eps_22782}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  c_gam_29538(X)  AntiPart OffShell c_eta_40068(X)^(*) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart  OffShell c(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), c(X_3),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81304,%eta_40060,%eps_22795}*gamma_{%\lambda_81304,%gam_29577,%eps_22796}*c_{i_27977,%gam_29577}(p_3)_u^(*)*c_{k_27975,%eps_22796}(p_1)_u*c_{l_27975,%eta_40060}(p_2)_v^(*)*c_{j_27977,%eps_22795}(p_4)_v/(m_c^2 + s_11 + (-2)*s_13 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_c^2*s_24 + 8*s_12*s_34)*(m_c^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  OffShell c_gam_29650(X)  AntiPart c_del_25777(X)^(*) : Vertex V_1: OffShell c(X_3), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81427,%eta_40179,%eps_22870}*gamma_{%\lambda_81427,%eta_40180,%beta_19616}*c_{k_27991,%eps_22870}(p_1)_u*c_{j_27993,%beta_19616}(p_4)_v*c_{l_27991,%eta_40179}(p_2)_v^(*)*c_{i_27993,%eta_40180}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  OffShell c_gam_29650(X)  AntiPart c_del_25777(X)^(*) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart c(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_3),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81440,%eta_40189,%beta_19625}*gamma_{%\lambda_81440,%eta_40190,%eps_22877}*c_{k_27991,%eps_22877}(p_1)_u*c_{j_27993,%beta_19625}(p_4)_v*c_{l_27991,%eta_40189}(p_2)_v^(*)*c_{i_27993,%eta_40190}(p_3)_u^(*)/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_c^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  OffShell c_gam_29650(X)  AntiPart OffShell c_del_25833(X)^(*) : Vertex V_1: OffShell c(X_3), AntiPart  OffShell c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81567,%eta_40331,%eps_22930}*gamma_{%\lambda_81567,%gam_29687,%gam_29688}*c_{l_28003,%eta_40331}(p_2)_v^(*)*c_{j_28005,%gam_29688}(p_4)_v*c_{i_28005,%gam_29687}(p_3)_u^(*)*c_{k_28003,%eps_22930}(p_1)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  OffShell c_gam_29650(X)  AntiPart OffShell c_del_25833(X)^(*) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart  OffShell c(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_3),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81577,%eta_40336,%gam_29701}*gamma_{%\lambda_81577,%gam_29702,%eps_22949}*c_{l_28003,%eta_40336}(p_2)_v^(*)*c_{j_28005,%gam_29701}(p_4)_v*c_{i_28005,%gam_29702}(p_3)_u^(*)*c_{k_28003,%eps_22949}(p_1)_u/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_c^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart c_gam_29806(X)^(*)  c_del_25865(X) : Vertex V_1:AntiPart c(X_3), c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81707,%eta_40453,%eps_22990}*gamma_{%\lambda_81707,%eta_40454,%alpha_28100}*c_{l_28015,%eta_40453}(p_2)_v^(*)*c_{j_28017,%eta_40454}(p_4)_u^(*)*c_{k_28015,%eps_22990}(p_1)_u*c_{i_28017,%alpha_28100}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart c_gam_29806(X)^(*)  c_del_25865(X) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81716,%eta_40463,%alpha_28107}*gamma_{%\lambda_81716,%eta_40464,%eps_22997}*c_{l_28015,%eta_40463}(p_2)_v^(*)*c_{j_28017,%eta_40464}(p_4)_u^(*)*c_{k_28015,%eps_22997}(p_1)_u*c_{i_28017,%alpha_28107}(p_3)_v/(m_c^2 + s_22 + (-2)*s_23 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + s_22 + (-2)*s_23 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart c_gam_29806(X)^(*)  OffShell c_del_25897(X) : Vertex V_1:AntiPart c(X_3),  OffShell c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81835,%eta_40605,%eps_23038}*gamma_{%\lambda_81835,%gam_29843,%gam_29844}*c_{j_28029,%gam_29843}(p_4)_u^(*)*c_{i_28029,%gam_29844}(p_3)_v*c_{l_28027,%eta_40605}(p_2)_v^(*)*c_{k_28027,%eps_23038}(p_1)_u/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart c_gam_29806(X)^(*)  OffShell c_del_25897(X) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81844,%eta_40610,%gam_29857}*gamma_{%\lambda_81844,%gam_29858,%eps_23045}*c_{j_28029,%gam_29858}(p_4)_u^(*)*c_{i_28029,%gam_29857}(p_3)_v*c_{l_28027,%eta_40610}(p_2)_v^(*)*c_{k_28027,%eps_23045}(p_1)_u/(m_c^2 + s_22 + (-2)*s_23 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + s_22 + (-2)*s_23 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart OffShell c_eps_23096(X)^(*)  c_eta_40746(X) : Vertex V_1:AntiPart  OffShell c(X_3), c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_81985,%eta_40727,%eps_23086}*gamma_{%\lambda_81985,%eta_40728,%gam_29962}*c_{j_28045,%eta_40728}(p_4)_u^(*)*c_{i_28045,%gam_29962}(p_3)_v*c_{k_28043,%eps_23086}(p_1)_u*c_{l_28043,%eta_40727}(p_2)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart OffShell c_eps_23096(X)^(*)  c_eta_40746(X) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart  OffShell c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_81994,%eta_40737,%gam_29969}*gamma_{%\lambda_81994,%eta_40738,%eps_23093}*c_{j_28045,%eta_40738}(p_4)_u^(*)*c_{i_28045,%gam_29969}(p_3)_v*c_{k_28043,%eps_23093}(p_1)_u*c_{l_28043,%eta_40737}(p_2)_v^(*)/(s_22 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(s_22 + (-2)*s_23 + s_33 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart OffShell c_eps_23096(X)^(*)  OffShell c_eta_40902(X) : Vertex V_1:AntiPart  OffShell c(X_3),  OffShell c(X_4),  OffShell A(V_1), Vertex V_0: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_0), : -4/9*i*e^2*gamma_{+%\lambda_82137,%eta_40883,%eps_23154}*gamma_{%\lambda_82137,%eta_40884,%eps_23155}*c_{j_28057,%eta_40884}(p_4)_u^(*)*c_{k_28055,%eps_23154}(p_1)_u*c_{i_28057,%eps_23155}(p_3)_v*c_{l_28055,%eta_40883}(p_2)_v^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 16/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_eps_21756(X)^(*)  AntiPart OffShell c_beta_19595(X)  to  AntiPart OffShell c_eps_23096(X)^(*)  OffShell c_eta_40902(X) : Vertex V_0:AntiPart  OffShell c(X_2), AntiPart  OffShell c(X_3),  OffShell A(V_0), Vertex V_1: OffShell c(X_1),  OffShell c(X_4),  OffShell A(V_1), : 4/9*i*e^2*gamma_{+%\lambda_82143,%eta_40893,%eps_23182}*gamma_{%\lambda_82143,%eta_40894,%eps_23183}*c_{j_28057,%eta_40894}(p_4)_u^(*)*c_{k_28055,%eps_23183}(p_1)_u*c_{i_28057,%eps_23182}(p_3)_v*c_{l_28055,%eta_40893}(p_2)_v^(*)/(s_22 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(s_22 + (-2)*s_23 + s_33 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  c_alpha_28476(X)  AntiPart c_beta_19743(X)^(*) : Vertex V_1:c(X_3), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), c(X_2),  OffShell A(V_0), : -2/9*i*e^2*gamma_{+%\lambda_82285,%eta_41039,%beta_19733}*gamma_{%\lambda_82285,%gam_30076,%del_26029}*c_{i_28077,%gam_30076}(p_3)_u^(*)*c_{l_28075,%beta_19733}(p_2)_u*c_{j_28077,%del_26029}(p_4)_v*c_{k_28075,%eta_41039}(p_1)_v^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  c_alpha_28476(X)  AntiPart c_beta_19743(X)^(*) : Vertex V_1:c(X_2), c(X_3),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), AntiPart c(X_4),  OffShell A(V_0), : 2/9*i*e^2*gamma_{+%\lambda_82302,%eta_41044,%del_26036}*gamma_{%\lambda_82302,%gam_30083,%beta_19740}*c_{i_28077,%gam_30083}(p_3)_u^(*)*c_{l_28075,%beta_19740}(p_2)_u*c_{j_28077,%del_26036}(p_4)_v*c_{k_28075,%eta_41044}(p_1)_v^(*)/(m_c^2 + -s_23 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + -s_23 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  c_alpha_28476(X)  AntiPart OffShell c_eta_41196(X)^(*) : Vertex V_1:c(X_3), AntiPart  OffShell c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), c(X_2),  OffShell A(V_0), : -2/9*i*e^2*gamma_{+%\lambda_82437,%eta_41168,%eta_41169}*gamma_{%\lambda_82437,%eta_41170,%eps_23271}*c_{l_28087,%eta_41169}(p_2)_u*c_{j_28089,%eps_23271}(p_4)_v*c_{i_28089,%eta_41170}(p_3)_u^(*)*c_{k_28087,%eta_41168}(p_1)_v^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  c_alpha_28476(X)  AntiPart OffShell c_eta_41196(X)^(*) : Vertex V_1:c(X_2), c(X_3),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), AntiPart  OffShell c(X_4),  OffShell A(V_0), : 2/9*i*e^2*gamma_{+%\lambda_82442,%eta_41185,%eps_23280}*gamma_{%\lambda_82442,%eta_41186,%eta_41187}*c_{l_28087,%eta_41187}(p_2)_u*c_{j_28089,%eps_23280}(p_4)_v*c_{i_28089,%eta_41186}(p_3)_u^(*)*c_{k_28087,%eta_41185}(p_1)_v^(*)/(m_c^2 + -s_23 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + -s_23 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  OffShell c_gam_30190(X)  AntiPart c_del_26143(X)^(*) : Vertex V_1: OffShell c(X_3), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), c(X_2),  OffShell A(V_0), : -2/9*i*e^2*gamma_{+%\lambda_82565,%eta_41372,%eta_41373}*gamma_{%\lambda_82565,%eta_41374,%beta_19787}*c_{i_28105,%eta_41374}(p_3)_u^(*)*c_{k_28103,%eta_41372}(p_1)_v^(*)*c_{j_28105,%beta_19787}(p_4)_v*c_{l_28103,%eta_41373}(p_2)_u/(m_c^2 + s_12 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  OffShell c_gam_30190(X)  AntiPart c_del_26143(X)^(*) : Vertex V_1:c(X_2),  OffShell c(X_3),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), AntiPart c(X_4),  OffShell A(V_0), : 4/9*i*e^2*gamma_{+%\lambda_82578,%eta_41389,%beta_19794}*gamma_{%\lambda_82578,%eta_41390,%eta_41391}*c_{i_28105,%eta_41390}(p_3)_u^(*)*c_{k_28103,%eta_41389}(p_1)_v^(*)*c_{j_28105,%beta_19794}(p_4)_v*c_{l_28103,%eta_41391}(p_2)_u/(m_c^2 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + (-2)*s_23 + s_33 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  OffShell c_gam_30190(X)  AntiPart OffShell c_del_26175(X)^(*) : Vertex V_1: OffShell c(X_3), AntiPart  OffShell c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), c(X_2),  OffShell A(V_0), : -2/9*i*e^2*gamma_{+%\lambda_82703,%eta_41570,%eta_41571}*gamma_{%\lambda_82703,%gam_30227,%gam_30228}*c_{k_28115,%eta_41570}(p_1)_v^(*)*c_{l_28115,%eta_41571}(p_2)_u*c_{j_28117,%gam_30228}(p_4)_v*c_{i_28117,%gam_30227}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 4/81*e^4*(16*m_c^4 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_23260(X)  c_eta_41052(X)^(*)  to  OffShell c_gam_30190(X)  AntiPart OffShell c_del_26175(X)^(*) : Vertex V_1:c(X_2),  OffShell c(X_3),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), AntiPart  OffShell c(X_4),  OffShell A(V_0), : 4/9*i*e^2*gamma_{+%\lambda_82714,%eta_41582,%gam_30241}*gamma_{%\lambda_82714,%gam_30242,%eta_41583}*c_{k_28115,%eta_41582}(p_1)_v^(*)*c_{l_28115,%eta_41583}(p_2)_u*c_{j_28117,%gam_30241}(p_4)_v*c_{i_28117,%gam_30242}(p_3)_u^(*)/(m_c^2 + (-2)*s_23 + s_33 + reg_prop) : 16/81*e^4*(16*m_c^4 + (-8)*m_c^2*s_14 + (-8)*m_c^2*s_23 + 8*s_13*s_24 + 8*s_12*s_34)*(m_c^2 + (-2)*s_23 + s_33 + reg_prop)^(-2)
