Interaction:  d_gam_189(X)^(*)  AntiPart d_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{%\sigma_325,%gam_186,%del_182}*gamma_{+%\sigma_325,%gam_187,%eps_82}*d_{k_71,%eps_82}(p_1)_u*d_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  t_beta_7184(X)  AntiPart t_gam_16234(X)^(*) : Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29755,%gam_16231,%eta_9533}*gamma_{+%\tau_29755,%gam_16232,%del_12118}*d_{l_11075,%del_12118}(p_2)_u*d_{k_11075,%gam_16232}(p_1)_v^(*)*t_{i_11077,%gam_16231}(p_3)_u^(*)*t_{j_11077,%eta_9533}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  t_beta_7184(X)  AntiPart OffShell t_beta_7188(X)^(*) : Vertex V_0:t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29803,%gam_16283,%del_12158}*gamma_{+%\tau_29803,%gam_16284,%del_12159}*d_{l_11082,%del_12159}(p_2)_u*d_{k_11082,%gam_16284}(p_1)_v^(*)*t_{j_11084,%del_12158}(p_4)_v*t_{i_11084,%gam_16283}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  OffShell t_del_12208(X)  AntiPart t_eps_8335(X)^(*) : Vertex V_0: OffShell t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29852,%gam_16342,%gam_16343}*gamma_{+%\tau_29852,%gam_16344,%del_12206}*d_{k_11093,%gam_16344}(p_1)_v^(*)*d_{l_11093,%del_12206}(p_2)_u*t_{i_11095,%gam_16342}(p_3)_u^(*)*t_{j_11095,%gam_16343}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  OffShell t_del_12208(X)  AntiPart OffShell t_gam_16413(X)^(*) : Vertex V_0: OffShell t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29897,%gam_16410,%del_12256}*gamma_{+%\tau_29897,%gam_16411,%del_12257}*d_{k_11100,%gam_16411}(p_1)_v^(*)*d_{l_11100,%del_12257}(p_2)_u*t_{i_11102,%gam_16410}(p_3)_u^(*)*t_{j_11102,%del_12256}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  AntiPart t_alpha_7661(X)^(*)  t_beta_7204(X) : Vertex V_0:AntiPart t(X_3), t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29929,%gam_16462,%eps_8355}*gamma_{+%\tau_29929,%gam_16463,%del_12307}*d_{l_11107,%del_12307}(p_2)_u*d_{k_11107,%gam_16463}(p_1)_v^(*)*t_{i_11109,%eps_8355}(p_3)_v*t_{j_11109,%gam_16462}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  AntiPart t_alpha_7661(X)^(*)  OffShell t_eta_9585(X) : Vertex V_0:AntiPart t(X_3),  OffShell t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_29976,%gam_16514,%del_12344}*gamma_{+%\tau_29976,%gam_16515,%del_12345}*d_{k_11114,%gam_16515}(p_1)_v^(*)*d_{l_11114,%del_12345}(p_2)_u*t_{j_11116,%gam_16514}(p_4)_u^(*)*t_{i_11116,%del_12344}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  AntiPart OffShell t_eta_9591(X)^(*)  t_alpha_7677(X) : Vertex V_0:AntiPart  OffShell t(X_3), t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_30026,%gam_16566,%del_12397}*gamma_{+%\tau_30026,%gam_16567,%del_12398}*d_{l_11125,%del_12398}(p_2)_u*d_{k_11125,%gam_16567}(p_1)_v^(*)*t_{j_11127,%gam_16566}(p_4)_u^(*)*t_{i_11127,%del_12397}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell d_eta_9449(X)  OffShell d_alpha_7635(X)^(*)  to  AntiPart OffShell t_eta_9591(X)^(*)  OffShell t_eps_8398(X) : Vertex V_0:AntiPart  OffShell t(X_3),  OffShell t(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell d(X_1),  OffShell d(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{%\tau_30067,%gam_16618,%eta_9600}*gamma_{+%\tau_30067,%gam_16619,%del_12461}*d_{k_11132,%gam_16619}(p_1)_v^(*)*d_{l_11132,%del_12461}(p_2)_u*t_{i_11134,%eta_9600}(p_3)_v*t_{j_11134,%gam_16618}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_d^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  u_alpha_10077(X)  AntiPart u_beta_9596(X)^(*) : Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40278,%gam_19047,%del_14878}*gamma_{%\nu_40278,%gam_19048,%del_14879}*d_{k_14859,%del_14879}(p_1)_u*d_{l_14859,%gam_19048}(p_2)_v^(*)*u_{j_14861,%del_14878}(p_4)_v*u_{i_14861,%gam_19047}(p_3)_u^(*)/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  u_alpha_10077(X)  AntiPart OffShell u_beta_9600(X)^(*) : Vertex V_0:u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40325,%eta_12026,%alpha_10094}*gamma_{%\nu_40325,%gam_19092,%eps_10790}*d_{l_14866,%gam_19092}(p_2)_v^(*)*d_{k_14866,%eps_10790}(p_1)_u*u_{i_14868,%eta_12026}(p_3)_u^(*)*u_{j_14868,%alpha_10094}(p_4)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  OffShell u_del_14928(X)  AntiPart u_eps_10818(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40376,%eta_12057,%gam_19126}*gamma_{%\nu_40376,%gam_19127,%eps_10815}*d_{l_14877,%gam_19127}(p_2)_v^(*)*d_{k_14877,%eps_10815}(p_1)_u*u_{j_14879,%gam_19126}(p_4)_v*u_{i_14879,%eta_12057}(p_3)_u^(*)/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  OffShell u_del_14928(X)  AntiPart OffShell u_gam_19171(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40423,%eta_12088,%beta_9614}*gamma_{%\nu_40423,%gam_19169,%eps_10840}*d_{k_14884,%eps_10840}(p_1)_u*d_{l_14884,%gam_19169}(p_2)_v^(*)*u_{i_14886,%eta_12088}(p_3)_u^(*)*u_{j_14886,%beta_9614}(p_4)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  AntiPart u_alpha_10138(X)^(*)  u_beta_9633(X) : Vertex V_0:AntiPart u(X_3), u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40456,%eta_12120,%eps_10870}*gamma_{%\nu_40456,%gam_19196,%eps_10871}*d_{l_14891,%gam_19196}(p_2)_v^(*)*d_{k_14891,%eps_10871}(p_1)_u*u_{i_14893,%eps_10870}(p_3)_v*u_{j_14893,%eta_12120}(p_4)_u^(*)/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  AntiPart u_alpha_10138(X)^(*)  OffShell u_eta_12155(X) : Vertex V_0:AntiPart u(X_3),  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40498,%eta_12152,%alpha_10150}*gamma_{%\nu_40498,%gam_19223,%eps_10914}*d_{l_14898,%gam_19223}(p_2)_v^(*)*d_{k_14898,%eps_10914}(p_1)_u*u_{j_14900,%eta_12152}(p_4)_u^(*)*u_{i_14900,%alpha_10150}(p_3)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  AntiPart OffShell u_eta_12186(X)^(*)  u_alpha_10177(X) : Vertex V_0:AntiPart  OffShell u(X_3), u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40547,%eta_12183,%del_14968}*gamma_{%\nu_40547,%gam_19250,%eps_10943}*d_{k_14909,%eps_10943}(p_1)_u*d_{l_14909,%gam_19250}(p_2)_v^(*)*u_{j_14911,%eta_12183}(p_4)_u^(*)*u_{i_14911,%del_14968}(p_3)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart d_eta_12012(X)  to  AntiPart OffShell u_eta_12186(X)^(*)  OffShell u_eps_10972(X) : Vertex V_0:AntiPart  OffShell u(X_3),  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 1/9*i*e^2*gamma_{+%\nu_40596,%eta_12219,%eta_12220}*gamma_{%\nu_40596,%gam_19277,%eps_10969}*d_{k_14916,%eps_10969}(p_1)_u*d_{l_14916,%gam_19277}(p_2)_v^(*)*u_{j_14918,%eta_12219}(p_4)_u^(*)*u_{i_14918,%eta_12220}(p_3)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  u_alpha_10195(X)  AntiPart u_beta_9643(X)^(*) : Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40661,%eta_12269,%eps_11003}*gamma_{%\nu_40661,%gam_19307,%eps_11004}*d_{l_14931,%gam_19307}(p_2)_v^(*)*d_{k_14931,%eps_11004}(p_1)_u*u_{j_14933,%eps_11003}(p_4)_v*u_{i_14933,%eta_12269}(p_3)_u^(*)/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  u_alpha_10195(X)  AntiPart OffShell u_alpha_10205(X)^(*) : Vertex V_0:u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40694,%eta_12304,%eta_12305}*gamma_{%\nu_40694,%gam_19337,%eps_11046}*d_{l_14938,%gam_19337}(p_2)_v^(*)*d_{k_14938,%eps_11046}(p_1)_u*u_{j_14940,%eta_12305}(p_4)_v*u_{i_14940,%eta_12304}(p_3)_u^(*)/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  OffShell u_gam_19366(X)  AntiPart u_del_15029(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40751,%eta_12353,%beta_9653}*gamma_{%\nu_40751,%gam_19364,%eps_11071}*d_{l_14949,%gam_19364}(p_2)_v^(*)*d_{k_14949,%eps_11071}(p_1)_u*u_{i_14951,%eta_12353}(p_3)_u^(*)*u_{j_14951,%beta_9653}(p_4)_v/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  OffShell u_gam_19366(X)  AntiPart OffShell u_beta_9672(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40798,%gam_19396,%alpha_10233}*gamma_{%\nu_40798,%gam_19397,%eps_11096}*d_{l_14956,%gam_19397}(p_2)_v^(*)*d_{k_14956,%eps_11096}(p_1)_u*u_{j_14958,%alpha_10233}(p_4)_v*u_{i_14958,%gam_19396}(p_3)_u^(*)/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  AntiPart u_eta_12397(X)^(*)  u_alpha_10258(X) : Vertex V_0:AntiPart u(X_3), u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40841,%eta_12394,%del_15049}*gamma_{%\nu_40841,%gam_19441,%eps_11122}*d_{k_14963,%eps_11122}(p_1)_u*d_{l_14963,%gam_19441}(p_2)_v^(*)*u_{i_14965,%del_15049}(p_3)_v*u_{j_14965,%eta_12394}(p_4)_u^(*)/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  AntiPart u_eta_12397(X)^(*)  OffShell u_eps_11151(X) : Vertex V_0:AntiPart u(X_3),  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40874,%eta_12430,%eta_12431}*gamma_{%\nu_40874,%gam_19468,%eps_11148}*d_{k_14970,%eps_11148}(p_1)_u*d_{l_14970,%gam_19468}(p_2)_v^(*)*u_{j_14972,%eta_12430}(p_4)_u^(*)*u_{i_14972,%eta_12431}(p_3)_v/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  AntiPart OffShell u_eps_11176(X)^(*)  u_eta_12482(X) : Vertex V_0:AntiPart  OffShell u(X_3), u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40923,%eta_12479,%gam_19500}*gamma_{%\nu_40923,%gam_19501,%eps_11173}*d_{k_14981,%eps_11173}(p_1)_u*d_{l_14981,%gam_19501}(p_2)_v^(*)*u_{j_14983,%eta_12479}(p_4)_u^(*)*u_{i_14983,%gam_19500}(p_3)_v/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  d_eps_10782(X)^(*)  AntiPart OffShell d_eta_12271(X)  to  AntiPart OffShell u_eps_11176(X)^(*)  OffShell u_del_15098(X) : Vertex V_0:AntiPart  OffShell u(X_3),  OffShell u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart  OffShell d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_40962,%gam_19550,%eps_11203}*gamma_{%\nu_40962,%gam_19551,%eps_11204}*d_{k_14988,%eps_11204}(p_1)_u*d_{l_14988,%gam_19551}(p_2)_v^(*)*u_{j_14990,%gam_19550}(p_4)_u^(*)*u_{i_14990,%eps_11203}(p_3)_v/(m_d^2 + 2*s_12 + s_22 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell d_del_15152(X)^(*)  AntiPart d_eps_11288(X)  to  u_eta_12576(X)  AntiPart u_alpha_10338(X)^(*) : Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1: OffShell d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_41185,%eta_12572,%gam_19646}*gamma_{%\nu_41185,%gam_19647,%eta_12573}*d_{k_15067,%eta_12573}(p_1)_u*d_{l_15067,%gam_19647}(p_2)_v^(*)*u_{j_15069,%gam_19646}(p_4)_v*u_{i_15069,%eta_12572}(p_3)_u^(*)/(m_d^2 + s_11 + 2*s_12 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell d_del_15152(X)^(*)  AntiPart d_eps_11288(X)  to  u_eta_12576(X)  AntiPart OffShell u_alpha_10348(X)^(*) : Vertex V_0:u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1: OffShell d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_41218,%eta_12625,%eta_12626}*gamma_{%\nu_41218,%gam_19691,%del_15166}*d_{l_15074,%gam_19691}(p_2)_v^(*)*d_{k_15074,%del_15166}(p_1)_u*u_{j_15076,%eta_12626}(p_4)_v*u_{i_15076,%eta_12625}(p_3)_u^(*)/(m_d^2 + s_11 + 2*s_12 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell d_del_15152(X)^(*)  AntiPart d_eps_11288(X)  to  OffShell u_gam_19720(X)  AntiPart u_del_15200(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1: OffShell d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_41275,%eta_12673,%beta_9742}*gamma_{%\nu_41275,%gam_19718,%del_15197}*d_{l_15085,%gam_19718}(p_2)_v^(*)*d_{k_15085,%del_15197}(p_1)_u*u_{j_15087,%beta_9742}(p_4)_v*u_{i_15087,%eta_12673}(p_3)_u^(*)/(m_d^2 + s_11 + 2*s_12 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell d_del_15152(X)^(*)  AntiPart d_eps_11288(X)  to  OffShell u_gam_19720(X)  AntiPart OffShell u_beta_9761(X)^(*) : Vertex V_0: OffShell u(X_3), AntiPart  OffShell u(X_4),  OffShell A(V_0), Vertex V_1: OffShell d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_41322,%gam_19750,%alpha_10374}*gamma_{%\nu_41322,%gam_19751,%del_15228}*d_{l_15092,%gam_19751}(p_2)_v^(*)*d_{k_15092,%del_15228}(p_1)_u*u_{j_15094,%alpha_10374}(p_4)_v*u_{i_15094,%gam_19750}(p_3)_u^(*)/(m_d^2 + s_11 + 2*s_12 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  OffShell d_del_15152(X)^(*)  AntiPart d_eps_11288(X)  to  AntiPart u_eta_12708(X)^(*)  u_alpha_10399(X) : Vertex V_0:AntiPart u(X_3), u(X_4),  OffShell A(V_0), Vertex V_1: OffShell d(X_1), AntiPart d(X_2),  OffShell A(V_1), : 2/9*i*e^2*gamma_{+%\nu_41365,%eta_12706,%del_15264}*gamma_{%\nu_41365,%gam_19795,%del_15265}*d_{l_15099,%gam_19795}(p_2)_v^(*)*d_{k_15099,%del_15265}(p_1)_u*u_{i_15101,%del_15264}(p_3)_v*u_{j_15101,%eta_12706}(p_4)_u^(*)/(m_d^2 + s_11 + 2*s_12 + reg_prop) : 4/81*e^4*(16*m_d^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
