Interaction:  b_gam_189(X)^(*)  AntiPart b_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_327,%gam_186,%del_182}*gamma_{%\tau_327,%gam_187,%eps_82}*b_{k_71,%eps_82}(p_1)_u*b_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  b_beta_3815(X)^(*)  to  AntiPart OffShell mu_beta_3853(X)^(*)  mu_gam_9153(X) : Vertex V_0:AntiPart  OffShell mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1), b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_17459,%eta_5213,%eta_5214}*gamma_{%\tau_17459,%gam_9151,%del_6470}*b_{l_5917,%del_6470}(p_2)_u*b_{k_5917,%gam_9151}(p_1)_v^(*)*mu_{i_5919,%eta_5214}(p_3)_v*mu_{j_5919,%eta_5213}(p_4)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  b_beta_3815(X)^(*)  to  AntiPart OffShell mu_beta_3853(X)^(*)  OffShell mu_alpha_4121(X) : Vertex V_0:AntiPart  OffShell mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1), b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_17507,%eta_5259,%beta_3862}*gamma_{%\tau_17507,%gam_9178,%del_6497}*b_{l_5924,%del_6497}(p_2)_u*b_{k_5924,%gam_9178}(p_1)_v^(*)*mu_{i_5926,%beta_3862}(p_3)_v*mu_{j_5926,%eta_5259}(p_4)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  mu_gam_9209(X)  AntiPart mu_del_6523(X)^(*) : Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17572,%eta_5292,%alpha_4140}*gamma_{%\tau_17572,%gam_9207,%eps_4532}*b_{k_5939,%gam_9207}(p_1)_v^(*)*b_{l_5939,%eps_4532}(p_2)_u*mu_{i_5941,%eta_5292}(p_3)_u^(*)*mu_{j_5941,%alpha_4140}(p_4)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  mu_gam_9209(X)  AntiPart OffShell mu_gam_9243(X)^(*) : Vertex V_0:mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17605,%gam_9239,%beta_3897}*gamma_{%\tau_17605,%gam_9240,%del_6534}*b_{l_5946,%del_6534}(p_2)_u*b_{k_5946,%gam_9240}(p_1)_v^(*)*mu_{j_5948,%beta_3897}(p_4)_v*mu_{i_5948,%gam_9239}(p_3)_u^(*)/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  OffShell mu_eps_4555(X)  AntiPart mu_eta_5327(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17662,%gam_9291,%del_6568}*gamma_{%\tau_17662,%gam_9292,%del_6569}*b_{l_5957,%del_6569}(p_2)_u*b_{k_5957,%gam_9292}(p_1)_v^(*)*mu_{j_5959,%del_6568}(p_4)_v*mu_{i_5959,%gam_9291}(p_3)_u^(*)/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  OffShell mu_eps_4555(X)  AntiPart OffShell mu_del_6613(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17701,%eta_5338,%gam_9341}*gamma_{%\tau_17701,%gam_9342,%del_6611}*b_{l_5964,%del_6611}(p_2)_u*b_{k_5964,%gam_9342}(p_1)_v^(*)*mu_{i_5966,%eta_5338}(p_3)_u^(*)*mu_{j_5966,%gam_9341}(p_4)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  AntiPart mu_beta_3933(X)^(*)  mu_gam_9386(X) : Vertex V_0:AntiPart mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17744,%eta_5370,%eta_5371}*gamma_{%\tau_17744,%gam_9384,%del_6638}*b_{k_5971,%gam_9384}(p_1)_v^(*)*b_{l_5971,%del_6638}(p_2)_u*mu_{j_5973,%eta_5370}(p_4)_u^(*)*mu_{i_5973,%eta_5371}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  AntiPart mu_beta_3933(X)^(*)  OffShell mu_alpha_4222(X) : Vertex V_0:AntiPart mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17777,%eta_5416,%beta_3942}*gamma_{%\tau_17777,%gam_9411,%del_6665}*b_{k_5978,%gam_9411}(p_1)_v^(*)*b_{l_5978,%del_6665}(p_2)_u*mu_{i_5980,%beta_3942}(p_3)_v*mu_{j_5980,%eta_5416}(p_4)_u^(*)/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  AntiPart OffShell mu_alpha_4234(X)^(*)  mu_beta_3968(X) : Vertex V_0:AntiPart  OffShell mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17834,%eta_5447,%eps_4571}*gamma_{%\tau_17834,%gam_9438,%del_6692}*b_{l_5989,%del_6692}(p_2)_u*b_{k_5989,%gam_9438}(p_1)_v^(*)*mu_{i_5991,%eps_4571}(p_3)_v*mu_{j_5991,%eta_5447}(p_4)_u^(*)/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart b_alpha_4008(X)  OffShell b_beta_3888(X)^(*)  to  AntiPart OffShell mu_alpha_4234(X)^(*)  OffShell mu_eta_5477(X) : Vertex V_0:AntiPart  OffShell mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_17873,%eta_5475,%alpha_4249}*gamma_{%\tau_17873,%gam_9465,%del_6719}*b_{k_5996,%gam_9465}(p_1)_v^(*)*b_{l_5996,%del_6719}(p_2)_u*mu_{j_5998,%eta_5475}(p_4)_u^(*)*mu_{i_5998,%alpha_4249}(p_3)_v/(m_b^2 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  mu_eta_5542(X)  AntiPart mu_alpha_4317(X)^(*) : Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18096,%eta_5539,%gam_9533}*gamma_{%\tau_18096,%gam_9534,%del_6780}*b_{k_6075,%gam_9534}(p_1)_v^(*)*b_{l_6075,%del_6780}(p_2)_u*mu_{j_6077,%gam_9533}(p_4)_v*mu_{i_6077,%eta_5539}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  mu_eta_5542(X)  AntiPart OffShell mu_alpha_4327(X)^(*) : Vertex V_0:mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18129,%eta_5577,%eta_5578}*gamma_{%\tau_18129,%gam_9578,%eps_4640}*b_{k_6082,%gam_9578}(p_1)_v^(*)*b_{l_6082,%eps_4640}(p_2)_u*mu_{i_6084,%eta_5577}(p_3)_u^(*)*mu_{j_6084,%eta_5578}(p_4)_v/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  OffShell mu_gam_9607(X)  AntiPart mu_del_6820(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18178,%eta_5625,%beta_4028}*gamma_{%\tau_18178,%gam_9605,%eps_4665}*b_{l_6093,%eps_4665}(p_2)_u*b_{k_6093,%gam_9605}(p_1)_v^(*)*mu_{j_6095,%beta_4028}(p_4)_v*mu_{i_6095,%eta_5625}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  OffShell mu_gam_9607(X)  AntiPart OffShell mu_beta_4047(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18217,%gam_9637,%alpha_4353}*gamma_{%\tau_18217,%gam_9638,%eps_4690}*b_{l_6100,%eps_4690}(p_2)_u*b_{k_6100,%gam_9638}(p_1)_v^(*)*mu_{j_6102,%alpha_4353}(p_4)_v*mu_{i_6102,%gam_9637}(p_3)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  AntiPart mu_eta_5660(X)^(*)  mu_alpha_4378(X) : Vertex V_0:AntiPart mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18260,%eta_5658,%del_6847}*gamma_{%\tau_18260,%gam_9682,%eps_4716}*b_{l_6107,%eps_4716}(p_2)_u*b_{k_6107,%gam_9682}(p_1)_v^(*)*mu_{i_6109,%del_6847}(p_3)_v*mu_{j_6109,%eta_5658}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  AntiPart mu_eta_5660(X)^(*)  OffShell mu_eps_4745(X) : Vertex V_0:AntiPart mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18293,%eta_5690,%eta_5691}*gamma_{%\tau_18293,%gam_9709,%eps_4742}*b_{l_6114,%eps_4742}(p_2)_u*b_{k_6114,%gam_9709}(p_1)_v^(*)*mu_{j_6116,%eta_5690}(p_4)_u^(*)*mu_{i_6116,%eta_5691}(p_3)_v/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  AntiPart OffShell mu_eps_4770(X)^(*)  mu_eta_5737(X) : Vertex V_0:AntiPart  OffShell mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18342,%eta_5735,%gam_9741}*gamma_{%\tau_18342,%gam_9742,%eps_4767}*b_{k_6125,%gam_9742}(p_1)_v^(*)*b_{l_6125,%eps_4767}(p_2)_u*mu_{i_6127,%gam_9741}(p_3)_v*mu_{j_6127,%eta_5735}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  b_eps_4632(X)^(*)  to  AntiPart OffShell mu_eps_4770(X)^(*)  OffShell mu_del_6909(X) : Vertex V_0:AntiPart  OffShell mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1), b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18389,%gam_9791,%eps_4797}*gamma_{%\tau_18389,%gam_9792,%eps_4798}*b_{k_6132,%gam_9792}(p_1)_v^(*)*b_{l_6132,%eps_4798}(p_2)_u*mu_{i_6134,%eps_4797}(p_3)_v*mu_{j_6134,%gam_9791}(p_4)_u^(*)/(m_b^2 + s_11 + 2*s_12 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  mu_eta_5769(X)  AntiPart mu_alpha_4412(X)^(*) : Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18452,%gam_9843,%del_6932}*gamma_{%\tau_18452,%gam_9844,%del_6933}*b_{l_6147,%del_6933}(p_2)_u*b_{k_6147,%gam_9844}(p_1)_v^(*)*mu_{i_6149,%gam_9843}(p_3)_u^(*)*mu_{j_6149,%del_6932}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  mu_eta_5769(X)  AntiPart OffShell mu_eta_5784(X)^(*) : Vertex V_0:mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18502,%eta_5781,%eps_4851}*gamma_{%\tau_18502,%gam_9888,%eps_4852}*b_{l_6154,%eps_4852}(p_2)_u*b_{k_6154,%gam_9888}(p_1)_v^(*)*mu_{i_6156,%eta_5781}(p_3)_u^(*)*mu_{j_6156,%eps_4851}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  OffShell mu_beta_4067(X)  AntiPart mu_gam_9917(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18551,%eta_5814,%alpha_4434}*gamma_{%\tau_18551,%gam_9915,%eps_4894}*b_{l_6165,%eps_4894}(p_2)_u*b_{k_6165,%gam_9915}(p_1)_v^(*)*mu_{j_6167,%alpha_4434}(p_4)_v*mu_{i_6167,%eta_5814}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  OffShell mu_beta_4067(X)  AntiPart OffShell mu_alpha_4459(X)^(*) : Vertex V_0: OffShell mu(X_3), AntiPart  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18601,%eta_5849,%eta_5850}*gamma_{%\tau_18601,%gam_9942,%eps_4931}*b_{l_6172,%eps_4931}(p_2)_u*b_{k_6172,%gam_9942}(p_1)_v^(*)*mu_{i_6174,%eta_5849}(p_3)_u^(*)*mu_{j_6174,%eta_5850}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  AntiPart mu_eps_4957(X)^(*)  mu_eta_5894(X) : Vertex V_0:AntiPart mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18639,%eta_5892,%gam_9974}*gamma_{%\tau_18639,%gam_9975,%eps_4954}*b_{l_6179,%eps_4954}(p_2)_u*b_{k_6179,%gam_9975}(p_1)_v^(*)*mu_{i_6181,%gam_9974}(p_3)_v*mu_{j_6181,%eta_5892}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  AntiPart mu_eps_4957(X)^(*)  OffShell mu_del_7041(X) : Vertex V_0:AntiPart mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18672,%gam_10024,%eps_4984}*gamma_{%\tau_18672,%gam_10025,%eps_4985}*b_{l_6186,%eps_4985}(p_2)_u*b_{k_6186,%gam_10025}(p_1)_v^(*)*mu_{j_6188,%gam_10024}(p_4)_u^(*)*mu_{i_6188,%eps_4984}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  AntiPart OffShell mu_del_7053(X)^(*)  mu_eps_5030(X) : Vertex V_0:AntiPart  OffShell mu(X_3), mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18732,%gam_10074,%beta_4083}*gamma_{%\tau_18732,%gam_10075,%eps_5027}*b_{l_6197,%eps_5027}(p_2)_u*b_{k_6197,%gam_10075}(p_1)_v^(*)*mu_{i_6199,%beta_4083}(p_3)_v*mu_{j_6199,%gam_10074}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell b_del_6782(X)  OffShell b_eps_4838(X)^(*)  to  AntiPart OffShell mu_del_7053(X)^(*)  OffShell mu_gam_10119(X) : Vertex V_0:AntiPart  OffShell mu(X_3),  OffShell mu(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell b(X_1),  OffShell b(X_2),  OffShell A(V_1), : -1/3*i*e^2*gamma_{+%\tau_18781,%eta_5935,%del_7080}*gamma_{%\tau_18781,%gam_10117,%eps_5064}*b_{l_6204,%eps_5064}(p_2)_u*b_{k_6204,%gam_10117}(p_1)_v^(*)*mu_{j_6206,%eta_5935}(p_4)_u^(*)*mu_{i_6206,%del_7080}(p_3)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 1/9*e^4*(16*m_b^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  b_alpha_7215(X)^(*)  AntiPart b_beta_6832(X)  to  t_gam_12888(X)  AntiPart t_del_9842(X)^(*) : Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_29502,%gam_12883,%eta_8681}*gamma_{%\tau_29502,%gam_12884,%gam_12885}*b_{l_10443,%gam_12884}(p_2)_v^(*)*b_{k_10443,%gam_12885}(p_1)_u*t_{j_10445,%eta_8681}(p_4)_v*t_{i_10445,%gam_12883}(p_3)_u^(*)/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  b_alpha_7215(X)^(*)  AntiPart b_beta_6832(X)  to  t_gam_12888(X)  AntiPart OffShell t_del_9863(X)^(*) : Vertex V_0:t(X_3), AntiPart  OffShell t(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{+%\tau_29555,%gam_12961,%gam_12962}*gamma_{%\tau_29555,%gam_12963,%del_9861}*b_{k_10450,%del_9861}(p_1)_u*b_{l_10450,%gam_12963}(p_2)_v^(*)*t_{i_10452,%gam_12961}(p_3)_u^(*)*t_{j_10452,%gam_12962}(p_4)_v/(m_b^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_b^2*m_t^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2)
